test_case_id,step_number,endpoint,method,test_data_row,reason,request_params,request_body,final_url,response_status,expected_status,execution_time,status
_projects_POST_1_1,3,post-/projects,POST,1,"llm_success_ignore_optional: All provided fields satisfy their type, enum, and required constraints; 'name' and 'import_url' are present as required by dependencies.","{""auto_cancel_pending_pipelines"": ""enabled"", ""auto_devops_deploy_strategy"": ""continuous"", ""auto_devops_enabled"": true, ""build_timeout"": 3600, ""builds_access_level"": ""private"", ""import_url"": ""https://github.com/example/repo.git"", ""issues_access_level"": ""enabled"", ""merge_method"": ""merge"", ""merge_requests_access_level"": ""private"", ""name"": ""devops-team34234234"", ""namespace_id"": 24, ""snippets_access_level"": ""disabled"", ""visibility"": ""private"", ""wiki_access_level"": ""enabled""}","{""enabled"": true, ""keep_n"": 5, ""older_than"": ""7d"", ""name_regex"": "".*release.*"", ""name_regex_delete"": "".*delete.*"", ""name_regex_keep"": "".*keep.*"", ""next_run_at"": ""2025-10-26T14:54:03.701Z""}",http://localhost:30000/api/v4/projects?auto_cancel_pending_pipelines=enabled&auto_devops_deploy_strategy=continuous&auto_devops_enabled=True&build_timeout=3600&builds_access_level=private&import_url=https%3A%2F%2Fgithub.com%2Fexample%2Frepo.git&issues_access_level=enabled&merge_method=merge&merge_requests_access_level=private&name=devops-team34234234&namespace_id=24&snippets_access_level=disabled&visibility=private&wiki_access_level=enabled,422,2xx,0.399s,FAIL
_projects_POST_1_1,3,post-/projects,POST,2,"'path' is provided (dependency with 'name'), 'template_name' is present (dependency with 'import_url'), enums and types are valid.","{""auto_devops_deploy_strategy"": ""manual"", ""builds_access_level"": ""private"", ""initialize_with_readme"": false, ""issues_access_level"": ""enabled"", ""merge_method"": ""merge"", ""merge_requests_access_level"": ""private"", ""namespace_id"": 24, ""path"": ""awesome-project"", ""public_builds"": false, ""remove_source_branch_after_merge"": true, ""snippets_access_level"": ""private"", ""template_name"": ""nodejs"", ""visibility"": ""private"", ""wiki_access_level"": ""private""}","{""cadence"": ""1w"", ""enabled"": false}",http://localhost:30000/api/v4/projects?auto_devops_deploy_strategy=manual&builds_access_level=private&initialize_with_readme=False&issues_access_level=enabled&merge_method=merge&merge_requests_access_level=private&namespace_id=24&path=awesome-project&public_builds=False&remove_source_branch_after_merge=True&snippets_access_level=private&template_name=nodejs&visibility=private&wiki_access_level=private,400,2xx,0.069s,FAIL
_projects_POST_1_1,3,post-/projects,POST,3,"llm_success_ignore_optional: All required and optional fields are present and valid; 'name' is provided (required), 'import_url' is present (dependency), enums and types are satisfied.","{""auto_devops_enabled"": true, ""build_git_strategy"": ""fetch"", ""build_timeout"": 3600, ""builds_access_level"": ""enabled"", ""container_registry_enabled"": true, ""import_url"": ""https://github.com/example/repo.git"", ""issues_access_level"": ""private"", ""merge_requests_access_level"": ""enabled"", ""name"": ""my-cool-project"", ""snippets_access_level"": ""disabled"", ""tag_list"": [""devops"", ""automation""], ""visibility"": ""public"", ""wiki_access_level"": ""enabled""}","{""cadence"": ""1d"", ""keep_n"": 10, ""older_than"": ""7d"", ""name_regex"": "".*release.*"", ""name_regex_delete"": ""^temp.*$"", ""name_regex_keep"": ""^prod.*$"", ""next_run_at"": ""2025-10-26T14:54:03.701Z""}",http://localhost:30000/api/v4/projects?auto_devops_enabled=True&build_git_strategy=fetch&build_timeout=3600&builds_access_level=enabled&container_registry_enabled=True&import_url=https%3A%2F%2Fgithub.com%2Fexample%2Frepo.git&issues_access_level=private&merge_requests_access_level=enabled&name=my-cool-project&snippets_access_level=disabled&tag_list=devops&tag_list=automation&visibility=public&wiki_access_level=enabled,422,2xx,0.419s,FAIL
_projects_POST_1_1,3,post-/projects,POST,4,"llm_success_ignore_optional: All required and optional fields are present and valid; 'name' is provided (required), 'import_url' is present (dependency), enums and types are satisfied.","{""build_timeout"": 3600, ""issues_access_level"": ""private"", ""lfs_enabled"": true, ""name"": ""my-cool-project""}","{""enabled"": true, ""keep_n"": 10, ""name_regex_delete"": ""^temp.*$""}",http://localhost:30000/api/v4/projects?build_timeout=3600&issues_access_level=private&lfs_enabled=True&name=my-cool-project,400,2xx,0.087s,FAIL
_projects_POST_1_1,3,post-/projects,POST,5,llm_success_ignore_optional,"{""auto_devops_enabled"": true, ""build_git_strategy"": ""fetch"", ""build_timeout"": 3600, ""builds_access_level"": ""enabled"", ""container_registry_enabled"": true, ""import_url"": ""https://github.com/example/repo.git"", ""issues_access_level"": ""private"", ""lfs_enabled"": true, ""merge_requests_access_level"": ""enabled"", ""name"": ""my-cool-project"", ""snippets_access_level"": ""disabled"", ""tag_list"": [""devops"", ""automation""], ""visibility"": ""public"", ""wiki_access_level"": ""enabled""}","{""cadence"": ""1d"", ""enabled"": true, ""keep_n"": 10, ""name_regex"": "".*release.*"", ""name_regex_delete"": ""^temp.*$"", ""name_regex_keep"": ""^prod.*$"", ""next_run_at"": ""2025-10-26T14:54:03.701Z""}",http://localhost:30000/api/v4/projects?auto_devops_enabled=True&build_git_strategy=fetch&build_timeout=3600&builds_access_level=enabled&container_registry_enabled=True&import_url=https%3A%2F%2Fgithub.com%2Fexample%2Frepo.git&issues_access_level=private&lfs_enabled=True&merge_requests_access_level=enabled&name=my-cool-project&snippets_access_level=disabled&tag_list=devops&tag_list=automation&visibility=public&wiki_access_level=enabled,422,2xx,0.446s,FAIL
_projects_POST_1_1,3,post-/projects,POST,6,llm_success_ignore_optional,"{""auto_devops_enabled"": true, ""build_timeout"": 3600, ""container_registry_enabled"": true, ""import_url"": ""https://github.com/example/repo.git"", ""issues_access_level"": ""private"", ""name"": ""my-cool-project"", ""wiki_access_level"": ""enabled""}","{""older_than"": ""7d"", ""name_regex"": "".*release.*"", ""name_regex_delete"": ""^temp.*$"", ""name_regex_keep"": ""^prod.*$"", ""next_run_at"": ""2025-10-26T14:54:03.701Z""}",http://localhost:30000/api/v4/projects?auto_devops_enabled=True&build_timeout=3600&container_registry_enabled=True&import_url=https%3A%2F%2Fgithub.com%2Fexample%2Frepo.git&issues_access_level=private&name=my-cool-project&wiki_access_level=enabled,422,2xx,0.416s,FAIL
_projects_POST_1_1,3,post-/projects,POST,7,llm_success_ignore_optional,"{""auto_cancel_pending_pipelines"": ""enabled"", ""auto_devops_enabled"": true, ""import_url"": ""https://github.com/example/repo.git"", ""merge_method"": ""merge"", ""merge_requests_access_level"": ""private"", ""name"": ""devops-team34234234"", ""namespace_id"": 24, ""snippets_access_level"": ""disabled"", ""visibility"": ""private"", ""wiki_access_level"": ""enabled""}","{""cadence"": ""1d"", ""enabled"": true, ""keep_n"": 5, ""older_than"": ""7d"", ""name_regex"": "".*release.*"", ""name_regex_delete"": "".*delete.*"", ""name_regex_keep"": "".*keep.*""}",http://localhost:30000/api/v4/projects?auto_cancel_pending_pipelines=enabled&auto_devops_enabled=True&import_url=https%3A%2F%2Fgithub.com%2Fexample%2Frepo.git&merge_method=merge&merge_requests_access_level=private&name=devops-team34234234&namespace_id=24&snippets_access_level=disabled&visibility=private&wiki_access_level=enabled,422,2xx,0.421s,FAIL
_projects_POST_1_1,3,post-/projects,POST,8,"llm_success_ignore_optional: All required and optional fields are present and valid; 'name' is provided (required), 'import_url' is present (dependency), enums and types are satisfied.","{""auto_devops_enabled"": true, ""build_git_strategy"": ""fetch"", ""build_timeout"": 3600, ""builds_access_level"": ""enabled"", ""import_url"": ""https://github.com/example/repo.git"", ""issues_access_level"": ""private"", ""merge_requests_access_level"": ""enabled"", ""name"": ""my-cool-project"", ""snippets_access_level"": ""disabled"", ""tag_list"": [""devops"", ""automation""], ""visibility"": ""public"", ""wiki_access_level"": ""enabled""}","{""cadence"": ""1d"", ""enabled"": true, ""keep_n"": 10, ""older_than"": ""7d"", ""name_regex_delete"": ""^temp.*$"", ""name_regex_keep"": ""^prod.*$"", ""next_run_at"": ""2025-10-26T14:54:03.701Z""}",http://localhost:30000/api/v4/projects?auto_devops_enabled=True&build_git_strategy=fetch&build_timeout=3600&builds_access_level=enabled&import_url=https%3A%2F%2Fgithub.com%2Fexample%2Frepo.git&issues_access_level=private&merge_requests_access_level=enabled&name=my-cool-project&snippets_access_level=disabled&tag_list=devops&tag_list=automation&visibility=public&wiki_access_level=enabled,422,2xx,0.446s,FAIL
_projects_POST_1_1,3,post-/projects,POST,9,llm_success_ignore_optional,"{""container_registry_enabled"": true, ""import_url"": ""https://github.com/example/repo.git"", ""issues_access_level"": ""private"", ""name"": ""my-cool-project"", ""visibility"": ""public"", ""wiki_access_level"": ""enabled""}","{""cadence"": ""1d"", ""enabled"": true, ""older_than"": ""7d"", ""name_regex"": "".*release.*""}",http://localhost:30000/api/v4/projects?container_registry_enabled=True&import_url=https%3A%2F%2Fgithub.com%2Fexample%2Frepo.git&issues_access_level=private&name=my-cool-project&visibility=public&wiki_access_level=enabled,422,2xx,0.417s,FAIL
_projects_POST_1_1,3,post-/projects,POST,10,"llm_success_ignore_optional: All provided fields satisfy their type, enum, and required constraints; 'name' and 'import_url' are present as required by dependencies.","{""auto_cancel_pending_pipelines"": ""enabled"", ""auto_devops_deploy_strategy"": ""continuous"", ""build_timeout"": 3600, ""builds_access_level"": ""private"", ""import_url"": ""https://github.com/example/repo.git"", ""issues_access_level"": ""enabled"", ""merge_method"": ""merge"", ""merge_requests_access_level"": ""private"", ""name"": ""devops-team34234234"", ""namespace_id"": 24, ""snippets_access_level"": ""disabled"", ""tag_list"": [""ci"", ""frontend""], ""visibility"": ""private"", ""wiki_access_level"": ""enabled""}","{""cadence"": ""1d"", ""keep_n"": 5, ""name_regex"": "".*release.*"", ""name_regex_keep"": "".*keep.*"", ""next_run_at"": ""2025-10-26T14:54:03.701Z""}",http://localhost:30000/api/v4/projects?auto_cancel_pending_pipelines=enabled&auto_devops_deploy_strategy=continuous&build_timeout=3600&builds_access_level=private&import_url=https%3A%2F%2Fgithub.com%2Fexample%2Frepo.git&issues_access_level=enabled&merge_method=merge&merge_requests_access_level=private&name=devops-team34234234&namespace_id=24&snippets_access_level=disabled&tag_list=ci&tag_list=frontend&visibility=private&wiki_access_level=enabled,422,2xx,0.393s,FAIL
